sep=,
"Time","""ts-preserve-service-5b6ddfd59f-wnst6"""
2024-05-01 13:59:15,0.00923
2024-05-01 13:59:30,0.00921
2024-05-01 13:59:45,0.00914
2024-05-01 14:00:00,0.00867
2024-05-01 14:00:15,0.00865
2024-05-01 14:00:30,0.00849
2024-05-01 14:00:45,0.00850
2024-05-01 14:01:00,0.00814
2024-05-01 14:01:15,0.00711
2024-05-01 14:01:30,0.00591
2024-05-01 14:01:45,0.00586
2024-05-01 14:02:00,0.00543
2024-05-01 14:02:15,0.00539
2024-05-01 14:02:30,0.00489
2024-05-01 14:02:45,0.00519
2024-05-01 14:03:00,0.00540
2024-05-01 14:03:15,0.00547
2024-05-01 14:03:30,0.00558
2024-05-01 14:03:45,0.00553
2024-05-01 14:04:00,0.00561
2024-05-01 14:04:15,0.00545
2024-05-01 14:04:30,0.00535
2024-05-01 14:04:45,0.00528
2024-05-01 14:05:00,0.00529
2024-05-01 14:05:15,0.00547
2024-05-01 14:05:30,0.00547
2024-05-01 14:05:45,0.00545
2024-05-01 14:06:00,0.00569
2024-05-01 14:06:15,0.00577
2024-05-01 14:06:30,0.00574
2024-05-01 14:06:45,0.00581
2024-05-01 14:07:00,0.00601
2024-05-01 14:07:15,0.00570
2024-05-01 14:07:30,0.00518
2024-05-01 14:07:45,0.00618
2024-05-01 14:08:00,0.00741
2024-05-01 14:08:15,0.00729
2024-05-01 14:08:30,0.00736
2024-05-01 14:08:45,0.00724
2024-05-01 14:09:00,0.00720
2024-05-01 14:09:15,0.00724
2024-05-01 14:09:30,0.00735
2024-05-01 14:09:45,0.00743
2024-05-01 14:10:00,0.00747
2024-05-01 14:10:15,0.00742
2024-05-01 14:10:30,0.00750
2024-05-01 14:10:45,0.00771
2024-05-01 14:11:00,0.00759
2024-05-01 14:11:15,0.00768
2024-05-01 14:11:30,0.00756
2024-05-01 14:11:45,0.00727
2024-05-01 14:12:00,0.00724
2024-05-01 14:12:15,0.00719
2024-05-01 14:12:30,0.00621
2024-05-01 14:12:45,0.00534
2024-05-01 14:13:00,0.00534
2024-05-01 14:13:15,0.00538
2024-05-01 14:13:30,0.00535
2024-05-01 14:13:45,0.00625
2024-05-01 14:14:00,0.00626
2024-05-01 14:14:15,0.00630
2024-05-01 14:14:30,0.00627
2024-05-01 14:14:45,0.00636
2024-05-01 14:15:00,0.00652
2024-05-01 14:15:15,0.00594
2024-05-01 14:15:30,0.00596
2024-05-01 14:15:45,0.00593
2024-05-01 14:16:00,0.00599
2024-05-01 14:16:15,0.00660
2024-05-01 14:16:30,0.00670
2024-05-01 14:16:45,0.00669
2024-05-01 14:17:00,0.00684
2024-05-01 14:17:15,0.00673
2024-05-01 14:17:30,0.00636
2024-05-01 14:17:45,0.00737
2024-05-01 14:18:00,0.00740
2024-05-01 14:18:15,0.00646
